body_type,brand,clothing_type,shoulder_width,bust,waist,hip,size
Apple,SaasFaras,Slim Fit Shirt,41.7,105.9,105.9,105.9,S
Triangle,Only,Oversized Jeans,47.0,85.9,85.9,101.1,M
Hourglass,Forever 21,Oversized Shirt,47.0,105.4,79.1,100.1,M
Apple,VeroModa,Slim Fit Shirt,38.3,99.8,99.8,99.8,L
Rectangle,Calvin Klein,Slim Fit Shirt,37.6,92.9,92.9,92.9,L
Apple,Marks & Spencers,Regular Fit Pants,45.1,115.1,115.1,115.1,S
Apple,Mango,Oversized Shirt,44.9,97.7,97.7,97.7,S
Rectangle,Mango,Regular Fit T-Shirt,49.9,85.2,85.2,85.2,L
Triangle,Zara,Oversized T-Shirt,39.2,84.8,84.8,99.7,M
Pear,Calvin Klein,Regular Fit T-Shirt,36.3,94.4,75.5,111.1,XS
Triangle,VeroModa,Oversized Pants,40.6,93.1,93.1,109.5,L
Apple,Calvin Klein,Slim Fit Pants,39.6,98.5,98.5,98.5,XL
Rectangle,VeroModa,Slim Fit Shirt,45.7,84.5,84.5,84.5,XL
Apple,Zara,Regular Fit T-Shirt,43.5,109.7,109.7,109.7,M
Triangle,Calvin Klein,Slim Fit T-Shirt,48.6,91.1,91.1,107.2,XL
Pear,H&M,Oversized T-Shirt,42.4,93.0,74.4,109.4,XS
Hourglass,Calvin Klein,Regular Fit T-Shirt,35.7,104.2,78.2,99.0,M
Triangle,Zara,Slim Fit T-Shirt,49.3,96.6,96.6,113.7,M
Hourglass,SaasFaras,Oversized T-Shirt,36.1,109.5,82.1,104.0,M
Hourglass,Zara,Regular Fit Pants,37.5,92.9,69.7,88.3,XS
Apple,VeroModa,Regular Fit Jeans,36.5,107.1,107.1,107.1,M
Rectangle,H&M,Regular Fit Jeans,37.0,97.0,97.0,97.0,XS
Hourglass,Only,Regular Fit Jeans,44.2,91.4,68.6,86.8,M
Triangle,Only,Slim Fit Pants,44.7,97.7,97.7,115.0,L
Triangle,Calvin Klein,Regular Fit Pants,41.6,93.1,93.1,109.5,L
Pear,Mango,Regular Fit Jeans,47.9,98.6,78.9,116.0,XL
Apple,Forever 21,Regular Fit Jeans,42.8,93.8,93.8,93.8,M
Hourglass,Zara,Regular Fit Pants,37.9,106.1,79.5,100.7,L
Pear,Only,Oversized Pants,49.5,83.6,66.9,98.3,L
Rectangle,Calvin Klein,Regular Fit Shirt,36.2,88.8,88.8,88.8,M
Hourglass,Zara,Regular Fit Pants,35.9,102.2,76.7,97.1,XS
Rectangle,SaasFaras,Oversized Shirt,39.2,93.2,93.2,93.2,XS
Hourglass,Only,Oversized T-Shirt,38.7,95.5,71.6,90.7,XL
Pear,Zara,Slim Fit T-Shirt,36.4,88.0,70.4,103.5,XS
Apple,Forever 21,Oversized T-Shirt,46.5,90.5,90.5,90.5,L
Hourglass,Only,Regular Fit T-Shirt,44.7,96.6,72.5,91.8,XS
Rectangle,VeroModa,Oversized T-Shirt,40.6,80.9,80.9,80.9,L
Rectangle,Calvin Klein,Regular Fit Jeans,45.3,90.8,90.8,90.8,XS
Rectangle,SaasFaras,Slim Fit Jeans,45.2,96.0,96.0,96.0,M
Pear,SaasFaras,Regular Fit Shirt,49.1,92.3,73.9,108.6,XL
Pear,SaasFaras,Regular Fit Shirt,39.1,85.1,68.1,100.2,S
Triangle,H&M,Slim Fit Shirt,36.1,95.3,95.3,112.1,S
Hourglass,H&M,Slim Fit Shirt,45.4,97.4,73.1,92.5,XS
Rectangle,Marks & Spencers,Regular Fit T-Shirt,39.2,96.1,96.1,96.1,XS
Rectangle,Zara,Slim Fit Pants,41.2,99.8,99.8,99.8,M
Rectangle,SaasFaras,Regular Fit Pants,45.2,84.8,84.8,84.8,XL
Apple,Calvin Klein,Slim Fit Pants,42.4,106.0,106.0,106.0,XS
Apple,VeroModa,Oversized Jeans,35.2,101.7,101.7,101.7,M
Apple,Calvin Klein,Slim Fit Jeans,49.3,99.6,99.6,99.6,XS
Triangle,Calvin Klein,Regular Fit Jeans,44.0,82.7,82.7,97.3,XL
Triangle,Zara,Regular Fit T-Shirt,46.8,97.6,97.6,114.8,XL
Hourglass,Zara,Regular Fit Jeans,43.2,86.4,64.8,82.1,S
Hourglass,Calvin Klein,Regular Fit Pants,36.8,93.8,70.3,89.1,XL
Triangle,Mango,Regular Fit Jeans,36.5,93.9,93.9,110.5,S
Hourglass,Marks & Spencers,Regular Fit Jeans,45.6,105.5,79.2,100.3,XS
Hourglass,Zara,Slim Fit T-Shirt,47.9,99.5,74.6,94.6,M
Triangle,SaasFaras,Regular Fit Pants,40.3,93.3,93.3,109.8,XS
Triangle,Calvin Klein,Slim Fit Jeans,40.0,86.0,86.0,101.2,M
Pear,H&M,Slim Fit Jeans,46.5,96.5,77.2,113.5,S
Apple,Only,Regular Fit Shirt,49.4,107.5,107.5,107.5,M
Triangle,SaasFaras,Slim Fit Pants,49.4,85.5,85.5,100.6,XS
Triangle,Zara,Slim Fit T-Shirt,36.1,101.9,101.9,119.8,XL
Pear,Calvin Klein,Regular Fit T-Shirt,44.4,91.9,73.5,108.1,XS
Apple,Zara,Slim Fit T-Shirt,35.7,117.0,117.0,117.0,M
Triangle,Marks & Spencers,Slim Fit T-Shirt,40.0,83.0,83.0,97.7,L
Rectangle,Forever 21,Regular Fit Jeans,39.0,84.6,84.6,84.6,S
Hourglass,Mango,Regular Fit T-Shirt,43.0,102.5,76.8,97.3,M
Apple,Zara,Regular Fit T-Shirt,37.4,110.5,110.5,110.5,XL
Pear,VeroModa,Oversized Shirt,44.2,96.2,76.9,113.1,M
Rectangle,Marks & Spencers,Oversized Shirt,35.4,80.9,80.9,80.9,M
Apple,VeroModa,Regular Fit Shirt,37.3,119.6,119.6,119.6,S
Hourglass,Mango,Slim Fit T-Shirt,47.6,106.1,79.5,100.8,M
Rectangle,Mango,Slim Fit Shirt,36.1,80.3,80.3,80.3,XS
Triangle,SaasFaras,Oversized T-Shirt,43.3,101.9,101.9,119.9,XL
Hourglass,Zara,Oversized T-Shirt,38.7,106.2,79.7,100.9,S
Apple,SaasFaras,Slim Fit Shirt,38.4,108.2,108.2,108.2,XL
Apple,Marks & Spencers,Oversized Shirt,35.3,98.1,98.1,98.1,L
Rectangle,H&M,Slim Fit T-Shirt,47.8,90.4,90.4,90.4,M
Triangle,Zara,Oversized Jeans,42.2,93.3,93.3,109.7,XS
Hourglass,Zara,Oversized Shirt,37.0,90.3,67.7,85.8,M
Triangle,H&M,Slim Fit T-Shirt,40.9,93.3,93.3,109.7,S
Pear,Calvin Klein,Oversized Shirt,41.8,92.4,73.9,108.7,L
Triangle,Only,Regular Fit Jeans,46.9,95.6,95.6,112.4,M
Rectangle,Marks & Spencers,Regular Fit Shirt,36.0,95.4,95.4,95.4,S
Hourglass,H&M,Slim Fit T-Shirt,38.1,93.7,70.3,89.0,XL
Pear,Calvin Klein,Slim Fit Pants,44.6,83.7,67.0,98.5,M
Triangle,Marks & Spencers,Slim Fit Pants,42.7,99.3,99.3,116.9,M
Rectangle,Calvin Klein,Slim Fit Shirt,39.2,83.4,83.4,83.4,XL
Hourglass,VeroModa,Oversized T-Shirt,40.3,98.4,73.8,93.4,XS
Rectangle,SaasFaras,Regular Fit Jeans,36.4,86.4,86.4,86.4,XL
Apple,VeroModa,Oversized Pants,35.9,117.6,117.6,117.6,M
Rectangle,Forever 21,Regular Fit Shirt,49.8,91.9,91.9,91.9,XS
Rectangle,Only,Oversized Pants,35.6,94.9,94.9,94.9,S
Pear,Only,Slim Fit Shirt,36.6,92.1,73.6,108.3,M
Rectangle,VeroModa,Slim Fit Shirt,39.0,84.8,84.8,84.8,M
Hourglass,Only,Slim Fit Pants,39.9,90.3,67.7,85.8,XS
Triangle,Mango,Regular Fit Shirt,45.2,93.4,93.4,109.8,XL
Pear,Mango,Oversized Shirt,43.8,92.2,73.7,108.4,L
Apple,Calvin Klein,Regular Fit Jeans,48.5,100.1,100.1,100.1,XS
Rectangle,Marks & Spencers,Oversized Jeans,49.0,86.6,86.6,86.6,XL
Hourglass,VeroModa,Oversized T-Shirt,36.3,106.3,79.7,101.0,L
Apple,Only,Slim Fit Shirt,45.5,90.5,90.5,90.5,M
Rectangle,Forever 21,Slim Fit Jeans,47.3,97.3,97.3,97.3,M
Apple,Marks & Spencers,Slim Fit T-Shirt,45.8,114.6,114.6,114.6,M
Pear,Marks & Spencers,Regular Fit Jeans,38.1,98.6,78.9,116.0,M
Rectangle,VeroModa,Regular Fit T-Shirt,46.0,84.0,84.0,84.0,M
Triangle,SaasFaras,Regular Fit Jeans,49.0,91.5,91.5,107.7,XL
Hourglass,Calvin Klein,Regular Fit Shirt,43.2,96.4,72.3,91.5,S
Rectangle,H&M,Oversized Pants,37.1,81.8,81.8,81.8,S
Apple,SaasFaras,Slim Fit Pants,44.1,104.2,104.2,104.2,M
Pear,SaasFaras,Oversized T-Shirt,36.9,101.3,81.0,119.1,L
Pear,Mango,Oversized Shirt,48.9,88.8,71.0,104.5,L
Triangle,Marks & Spencers,Oversized Jeans,47.0,96.7,96.7,113.8,XS
Pear,Zara,Oversized T-Shirt,44.5,85.8,68.6,100.9,XL
Triangle,Mango,Regular Fit Jeans,41.8,95.3,95.3,112.1,XS
Pear,VeroModa,Regular Fit Shirt,48.5,85.7,68.5,100.8,XS
Rectangle,Zara,Oversized Pants,41.5,90.9,90.9,90.9,M
Pear,Only,Slim Fit Shirt,46.9,83.7,67.0,98.5,S
Hourglass,SaasFaras,Regular Fit T-Shirt,37.3,104.7,78.5,99.5,M
Apple,Zara,Oversized Jeans,43.5,91.0,91.0,91.0,XS
Rectangle,Zara,Oversized Jeans,47.3,86.8,86.8,86.8,S
Triangle,Marks & Spencers,Regular Fit T-Shirt,42.3,92.2,92.2,108.5,XL
Triangle,H&M,Oversized Jeans,43.1,95.5,95.5,112.3,M
Pear,Zara,Regular Fit T-Shirt,40.1,101.1,80.9,119.0,M
Rectangle,Marks & Spencers,Oversized Shirt,45.9,85.1,85.1,85.1,XS
Pear,Forever 21,Regular Fit T-Shirt,45.6,100.4,80.3,118.1,XL
Rectangle,SaasFaras,Slim Fit Jeans,36.2,81.4,81.4,81.4,S
Apple,VeroModa,Oversized Jeans,49.8,93.4,93.4,93.4,XS
Triangle,VeroModa,Regular Fit Pants,39.7,87.8,87.8,103.3,XS
Pear,Marks & Spencers,Oversized T-Shirt,38.1,96.6,77.3,113.6,XS
Apple,Zara,Regular Fit Jeans,41.2,93.4,93.4,93.4,XS
Rectangle,VeroModa,Oversized Shirt,48.8,89.6,89.6,89.6,S
Pear,Calvin Klein,Slim Fit T-Shirt,41.3,91.3,73.1,107.5,XS
Apple,SaasFaras,Oversized Jeans,45.0,90.4,90.4,90.4,S
Apple,Forever 21,Slim Fit Pants,47.9,106.7,106.7,106.7,XS
Hourglass,Marks & Spencers,Regular Fit Shirt,41.0,92.7,69.6,88.1,XS
Pear,Marks & Spencers,Slim Fit Shirt,40.7,94.0,75.2,110.6,XL
Pear,H&M,Regular Fit Shirt,42.9,90.4,72.3,106.3,M
Triangle,SaasFaras,Oversized Shirt,37.7,84.0,84.0,98.9,M
Hourglass,Only,Regular Fit Pants,39.1,94.3,70.7,89.6,M
Rectangle,SaasFaras,Regular Fit Pants,48.0,96.8,96.8,96.8,L
Apple,Mango,Regular Fit Pants,45.1,96.9,96.9,96.9,M
Hourglass,Marks & Spencers,Slim Fit T-Shirt,37.7,105.0,78.7,99.7,XS
Apple,Marks & Spencers,Oversized Shirt,45.8,97.3,97.3,97.3,M
Pear,Forever 21,Regular Fit T-Shirt,41.1,83.7,67.0,98.5,XL
Rectangle,Only,Regular Fit Jeans,35.4,84.2,84.2,84.2,XS
Hourglass,Calvin Klein,Regular Fit T-Shirt,48.4,95.5,71.7,90.8,XL
Hourglass,Forever 21,Oversized Jeans,40.4,105.6,79.2,100.3,S
Triangle,Forever 21,Oversized T-Shirt,43.3,89.4,89.4,105.2,XL
Rectangle,Zara,Slim Fit Jeans,46.5,99.0,99.0,99.0,M
Apple,Marks & Spencers,Oversized Jeans,42.7,104.5,104.5,104.5,XS
Apple,Marks & Spencers,Oversized Shirt,38.3,102.1,102.1,102.1,XL
Pear,Forever 21,Regular Fit Jeans,45.4,99.9,79.9,117.5,S
Hourglass,VeroModa,Oversized Shirt,42.5,105.4,79.0,100.1,XL
Rectangle,SaasFaras,Oversized T-Shirt,45.8,89.9,89.9,89.9,XS
Hourglass,VeroModa,Oversized T-Shirt,48.1,107.5,80.6,102.1,M
Rectangle,Mango,Oversized T-Shirt,41.3,98.3,98.3,98.3,S
Triangle,H&M,Slim Fit Jeans,36.4,84.7,84.7,99.6,M
Pear,Zara,Oversized Jeans,45.8,88.3,70.6,103.9,M
Pear,VeroModa,Oversized Shirt,39.0,91.0,72.8,107.1,XL
Triangle,Calvin Klein,Slim Fit Shirt,42.4,81.8,81.8,96.3,L
Hourglass,H&M,Slim Fit Pants,40.2,96.9,72.6,92.0,S
Apple,SaasFaras,Slim Fit Pants,41.5,110.7,110.7,110.7,XL
Pear,Calvin Klein,Oversized Shirt,49.5,80.8,64.6,95.1,XL
Rectangle,Calvin Klein,Oversized T-Shirt,49.4,96.1,96.1,96.1,L
Apple,Mango,Regular Fit Pants,43.1,95.6,95.6,95.6,XS
Pear,Marks & Spencers,Oversized T-Shirt,45.4,94.7,75.8,111.5,XS
Apple,H&M,Slim Fit Pants,49.8,96.6,96.6,96.6,L
Hourglass,Only,Regular Fit Shirt,48.7,99.2,74.4,94.2,S
Hourglass,Only,Slim Fit Pants,49.6,108.1,81.1,102.7,M
Hourglass,H&M,Regular Fit T-Shirt,47.4,93.0,69.7,88.3,M
Apple,Marks & Spencers,Slim Fit Shirt,36.2,93.6,93.6,93.6,L
Hourglass,Marks & Spencers,Regular Fit Jeans,47.1,99.3,74.5,94.3,L
Triangle,VeroModa,Slim Fit Pants,48.3,94.1,94.1,110.6,XL
Rectangle,H&M,Regular Fit Pants,35.3,97.4,97.4,97.4,M
Hourglass,H&M,Slim Fit Shirt,40.3,109.9,82.5,104.5,M
Apple,Zara,Slim Fit Jeans,39.1,107.4,107.4,107.4,XS
Apple,Mango,Regular Fit Pants,38.6,112.1,112.1,112.1,L
Pear,Marks & Spencers,Oversized Shirt,43.8,96.0,76.8,112.9,L
Apple,Zara,Slim Fit Pants,36.9,101.7,101.7,101.7,XS
Pear,Zara,Oversized T-Shirt,49.7,93.3,74.6,109.7,M
Pear,H&M,Slim Fit Pants,41.0,82.1,65.7,96.6,L
Hourglass,VeroModa,Oversized T-Shirt,38.5,97.8,73.4,92.9,M
Rectangle,Mango,Regular Fit Jeans,46.7,83.7,83.7,83.7,XS
Hourglass,Zara,Slim Fit T-Shirt,44.0,98.0,73.5,93.1,XS
Apple,Calvin Klein,Oversized Shirt,37.3,110.9,110.9,110.9,S
Pear,VeroModa,Oversized Pants,43.9,92.2,73.7,108.4,XL
Hourglass,H&M,Oversized Jeans,39.1,94.8,71.1,90.0,XS
Hourglass,Mango,Slim Fit Shirt,35.5,106.3,79.7,101.0,XS
Apple,Zara,Oversized Jeans,38.8,98.4,98.4,98.4,M
Pear,Zara,Regular Fit Jeans,38.3,82.5,66.0,97.0,S
Hourglass,Zara,Regular Fit Shirt,42.2,97.4,73.0,92.5,S
Hourglass,Calvin Klein,Regular Fit Jeans,45.2,93.7,70.3,89.0,M
Pear,SaasFaras,Slim Fit T-Shirt,38.7,99.2,79.4,116.7,M
Pear,Mango,Oversized Jeans,45.2,95.6,76.5,112.4,XL
Pear,VeroModa,Slim Fit Jeans,48.1,99.5,79.6,117.0,XL
Pear,Only,Regular Fit Jeans,38.4,98.2,78.5,115.5,S
Rectangle,Forever 21,Oversized Shirt,35.1,90.1,90.1,90.1,XL
Hourglass,SaasFaras,Slim Fit Pants,40.7,87.9,65.9,83.5,XS
Hourglass,Calvin Klein,Slim Fit T-Shirt,43.1,104.0,78.0,98.8,M
Rectangle,Zara,Slim Fit T-Shirt,46.6,83.5,83.5,83.5,L
Triangle,SaasFaras,Slim Fit Jeans,40.2,93.1,93.1,109.6,XS
Rectangle,Marks & Spencers,Oversized Jeans,49.6,97.4,97.4,97.4,S
Hourglass,Forever 21,Oversized Jeans,40.8,99.9,74.9,94.9,M
Hourglass,SaasFaras,Slim Fit T-Shirt,35.0,91.3,68.5,86.7,M
Rectangle,H&M,Regular Fit T-Shirt,47.8,82.0,82.0,82.0,XS
Hourglass,Forever 21,Oversized Shirt,39.1,101.4,76.0,96.3,L
Apple,Marks & Spencers,Slim Fit Jeans,41.3,118.3,118.3,118.3,XL
Pear,Forever 21,Slim Fit T-Shirt,49.8,86.6,69.3,101.9,M
Apple,VeroModa,Oversized Shirt,48.0,96.0,96.0,96.0,XL
Triangle,H&M,Slim Fit Jeans,37.8,101.3,101.3,119.2,M
Apple,Zara,Oversized Pants,46.4,115.3,115.3,115.3,M
Pear,Zara,Oversized Pants,37.8,101.3,81.0,119.2,L
Apple,Only,Regular Fit Shirt,43.4,97.4,97.4,97.4,L
Apple,VeroModa,Slim Fit T-Shirt,47.0,98.1,98.1,98.1,XL
Pear,SaasFaras,Oversized Pants,40.9,82.3,65.8,96.8,XL
Pear,Mango,Regular Fit Shirt,35.6,97.3,77.9,114.5,L
Pear,Marks & Spencers,Slim Fit Pants,43.6,82.9,66.3,97.6,XS
Triangle,Forever 21,Regular Fit Shirt,49.1,97.2,97.2,114.4,S
Apple,H&M,Regular Fit Shirt,36.2,116.5,116.5,116.5,XS
Hourglass,Forever 21,Regular Fit Jeans,38.0,109.4,82.1,104.0,S
Rectangle,H&M,Oversized Shirt,36.6,83.3,83.3,83.3,S
Pear,Calvin Klein,Oversized Jeans,35.8,100.6,80.5,118.4,XS
Apple,H&M,Slim Fit Jeans,46.8,108.8,108.8,108.8,S
Pear,Only,Oversized Jeans,44.0,92.5,74.0,108.8,L
Rectangle,Calvin Klein,Slim Fit Pants,36.2,94.6,94.6,94.6,L
Triangle,Only,Slim Fit Jeans,44.2,90.9,90.9,107.0,XL
Pear,Only,Regular Fit T-Shirt,46.8,84.6,67.7,99.6,XL
Pear,H&M,Slim Fit T-Shirt,40.0,94.6,75.7,111.3,S
Apple,Calvin Klein,Slim Fit Jeans,38.3,102.1,102.1,102.1,S
Apple,Only,Slim Fit Jeans,45.9,116.0,116.0,116.0,XS
Hourglass,Marks & Spencers,Regular Fit T-Shirt,40.6,93.6,70.2,89.0,XL
Triangle,Marks & Spencers,Oversized Shirt,43.8,91.7,91.7,107.8,XS
Rectangle,Zara,Oversized Shirt,48.5,97.5,97.5,97.5,L
Rectangle,Calvin Klein,Slim Fit Shirt,38.2,98.2,98.2,98.2,S
Hourglass,H&M,Oversized Pants,37.0,103.3,77.5,98.2,XL
Triangle,Only,Regular Fit Jeans,42.7,88.7,88.7,104.3,L
Hourglass,Zara,Slim Fit T-Shirt,36.5,95.9,71.9,91.1,XL
Hourglass,Marks & Spencers,Regular Fit Pants,36.4,101.6,76.2,96.5,XS
Apple,Mango,Slim Fit Pants,44.9,97.7,97.7,97.7,L
Apple,Marks & Spencers,Slim Fit Jeans,41.8,119.1,119.1,119.1,L
Pear,Calvin Klein,Slim Fit T-Shirt,45.0,90.3,72.2,106.2,S
Apple,SaasFaras,Oversized T-Shirt,49.2,107.6,107.6,107.6,L
Apple,VeroModa,Regular Fit T-Shirt,46.0,91.1,91.1,91.1,L
Hourglass,Zara,Regular Fit Shirt,41.7,102.6,77.0,97.5,XS
Triangle,Forever 21,Oversized Shirt,38.5,83.4,83.4,98.1,S
Rectangle,SaasFaras,Regular Fit Pants,49.0,89.0,89.0,89.0,M
Hourglass,SaasFaras,Regular Fit Shirt,37.2,86.0,64.5,81.7,M
Hourglass,H&M,Oversized Pants,49.3,85.1,63.8,80.9,M
Rectangle,Mango,Regular Fit Pants,45.0,89.8,89.8,89.8,M
Triangle,Only,Regular Fit T-Shirt,45.1,85.0,85.0,100.0,S
Rectangle,Zara,Regular Fit Shirt,48.0,88.9,88.9,88.9,XL
Rectangle,SaasFaras,Regular Fit Pants,35.3,87.5,87.5,87.5,S
Rectangle,SaasFaras,Regular Fit Jeans,49.0,80.6,80.6,80.6,XS
Triangle,SaasFaras,Regular Fit Shirt,47.4,100.7,100.7,118.5,M
Hourglass,Mango,Regular Fit Jeans,44.1,89.0,66.7,84.5,L
Apple,SaasFaras,Slim Fit Pants,46.7,116.1,116.1,116.1,XS
Hourglass,Mango,Oversized Jeans,46.5,101.3,75.9,96.2,L
Triangle,VeroModa,Slim Fit Shirt,47.0,96.9,96.9,114.1,S
Pear,SaasFaras,Oversized Pants,44.5,87.7,70.2,103.2,XS
Rectangle,Only,Oversized T-Shirt,41.7,87.8,87.8,87.8,M
Apple,SaasFaras,Slim Fit Shirt,43.8,90.4,90.4,90.4,L
Rectangle,H&M,Slim Fit Pants,49.3,90.8,90.8,90.8,M
Rectangle,VeroModa,Slim Fit Jeans,36.6,96.3,96.3,96.3,XL
Hourglass,H&M,Oversized T-Shirt,40.9,96.9,72.7,92.1,L
Rectangle,Zara,Regular Fit Pants,44.7,80.2,80.2,80.2,M
Triangle,Mango,Regular Fit T-Shirt,38.0,88.8,88.8,104.5,M
Hourglass,VeroModa,Slim Fit Shirt,44.3,89.2,66.9,84.7,S
Hourglass,Forever 21,Oversized Jeans,43.1,105.1,78.8,99.8,XL
Rectangle,Forever 21,Oversized Shirt,41.2,85.5,85.5,85.5,S
Apple,Only,Slim Fit Jeans,37.8,114.0,114.0,114.0,S
Apple,Marks & Spencers,Regular Fit T-Shirt,47.1,104.5,104.5,104.5,L
Apple,Marks & Spencers,Regular Fit Jeans,44.6,90.1,90.1,90.1,M
Hourglass,VeroModa,Slim Fit Jeans,44.7,104.8,78.6,99.6,XS
Rectangle,Mango,Regular Fit Jeans,46.7,84.7,84.7,84.7,XS
Rectangle,Marks & Spencers,Slim Fit Shirt,45.0,88.5,88.5,88.5,L
Rectangle,Calvin Klein,Regular Fit T-Shirt,43.8,89.0,89.0,89.0,S
Apple,Calvin Klein,Slim Fit Jeans,43.0,104.2,104.2,104.2,S
Hourglass,Calvin Klein,Slim Fit Jeans,40.9,90.8,68.1,86.3,M
Hourglass,Mango,Slim Fit Pants,44.0,91.9,68.9,87.3,S
Rectangle,Calvin Klein,Regular Fit Jeans,45.4,94.4,94.4,94.4,XL
Triangle,Calvin Klein,Regular Fit T-Shirt,48.6,87.9,87.9,103.4,S
Hourglass,Forever 21,Oversized Pants,37.9,107.4,80.5,102.0,XL
Apple,VeroModa,Slim Fit Pants,47.5,103.3,103.3,103.3,L
Triangle,Zara,Slim Fit Jeans,39.1,94.4,94.4,111.0,M
Rectangle,Calvin Klein,Slim Fit T-Shirt,40.0,86.5,86.5,86.5,L
Rectangle,Only,Slim Fit Jeans,49.9,87.3,87.3,87.3,S
Triangle,Marks & Spencers,Slim Fit T-Shirt,49.4,82.6,82.6,97.2,L
Hourglass,Mango,Regular Fit Pants,41.8,87.4,65.6,83.0,S
Triangle,SaasFaras,Slim Fit Jeans,40.7,90.8,90.8,106.9,L
Triangle,Calvin Klein,Oversized Pants,46.5,96.4,96.4,113.4,XL
Apple,Mango,Oversized T-Shirt,36.3,108.7,108.7,108.7,L
Apple,Zara,Slim Fit Jeans,35.5,111.3,111.3,111.3,L
Apple,Only,Oversized Shirt,36.3,100.8,100.8,100.8,XL
Pear,Mango,Slim Fit Pants,41.0,87.2,69.8,102.6,XS
Rectangle,Forever 21,Oversized Shirt,43.6,95.7,95.7,95.7,M
Triangle,Zara,Regular Fit T-Shirt,41.0,91.4,91.4,107.5,S
Rectangle,Calvin Klein,Oversized Pants,47.1,97.4,97.4,97.4,S
Triangle,Mango,Oversized T-Shirt,45.4,84.4,84.4,99.3,M
Rectangle,Forever 21,Oversized Shirt,37.0,96.4,96.4,96.4,S
Apple,Forever 21,Regular Fit Shirt,49.3,99.5,99.5,99.5,XL
Apple,Zara,Oversized Shirt,37.0,90.8,90.8,90.8,XL
Triangle,Forever 21,Oversized Shirt,44.6,83.0,83.0,97.6,XL
Hourglass,H&M,Slim Fit Jeans,43.5,94.7,71.0,89.9,M
Rectangle,Mango,Oversized Shirt,44.3,95.1,95.1,95.1,M
Apple,Only,Slim Fit Shirt,36.8,94.3,94.3,94.3,XS
Pear,Only,Slim Fit Jeans,50.0,91.6,73.3,107.7,XS
Apple,Zara,Regular Fit Pants,44.4,99.2,99.2,99.2,L
Triangle,VeroModa,Regular Fit Pants,48.3,83.5,83.5,98.3,S
Hourglass,Calvin Klein,Regular Fit Pants,47.4,95.4,71.5,90.6,M
Hourglass,VeroModa,Oversized T-Shirt,41.3,88.3,66.3,83.9,S
Hourglass,Only,Regular Fit Jeans,35.2,90.4,67.8,85.9,XL
Rectangle,Zara,Oversized T-Shirt,35.6,81.3,81.3,81.3,S
Apple,Calvin Klein,Regular Fit Shirt,42.5,109.4,109.4,109.4,L
Hourglass,Forever 21,Oversized Shirt,44.8,91.1,68.3,86.5,L
Pear,Mango,Regular Fit T-Shirt,46.8,90.5,72.4,106.5,XL
Hourglass,SaasFaras,Slim Fit Pants,49.1,101.5,76.1,96.4,XS
Rectangle,SaasFaras,Regular Fit Jeans,48.5,80.8,80.8,80.8,S
Hourglass,Only,Oversized Shirt,38.4,96.3,72.2,91.4,M
Apple,Only,Oversized Pants,46.1,94.5,94.5,94.5,XL
Apple,Only,Oversized T-Shirt,46.2,91.1,91.1,91.1,XL
Apple,Calvin Klein,Oversized Pants,49.3,90.4,90.4,90.4,M
